customer_id,region,income,cupons,age
0,22,1025,0,24
1,21,1649,0,26
2,17,2034,5,33
3,31,1859,0,35
4,19,1243,5,26
5,7,4521,15,34
6,12,2587,15,28
7,11,771,0,31
8,2,2891,10,31
9,28,1356,0,24
10,27,5222,15,26
11,27,2176,0,28
12,0,780,0,26
13,22,1405,5,30
14,42,2122,5,27
15,47,660,10,27
16,43,761,0,28
17,32,2291,5,28
18,48,2468,10,23
19,3,2320,5,29
20,11,2050,5,26
21,25,1995,10,27
22,31,2261,5,29
23,2,1233,0,23
24,4,784,0,29
25,3,2082,5,28
26,42,990,0,33
27,26,3222,15,29
28,27,805,0,28
29,48,2121,5,29
30,11,667,0,34
31,48,5171,15,29
32,21,1956,0,26
33,26,1477,0,36
34,1,4224,10,30
35,13,1630,5,27
36,36,608,0,29
37,33,2461,10,26
38,29,6428,15,25
39,25,2135,10,27
40,11,2594,10,32
41,30,1917,0,27
42,38,975,0,28
43,47,671,0,31
44,1,1257,0,25
45,10,668,0,31
46,1,2166,10,24
47,34,5534,15,26
48,14,2644,15,30
49,33,1030,0,27
50,12,522,0,24
51,38,834,5,23
52,42,3966,10,33
53,22,3410,15,26
54,32,875,0,28
55,9,2726,5,27
56,39,518,0,29
57,36,5585,15,24
58,1,1866,10,29
59,35,1766,5,26
60,46,1294,0,29
61,32,4059,15,30
62,46,2134,10,25
63,11,2126,5,29
64,41,7256,15,27
65,5,2379,5,30
66,32,1784,15,33
67,9,3508,10,27
68,7,829,0,31
69,35,3077,10,29
70,44,3904,10,28
71,44,6944,15,24
72,41,1245,0,30
73,38,1287,0,23
74,0,5600,15,28
75,37,5069,10,25
76,8,717,0,29
77,18,2161,0,30
78,39,7440,15,27
79,38,3826,5,26
80,5,888,0,30
81,3,3920,15,25
82,29,788,0,31
83,26,2233,0,29
84,15,1094,0,28
85,16,1930,5,31
86,19,3573,15,33
87,15,1924,0,24
88,24,4611,15,23
89,22,2186,15,27
90,47,2805,5,23
91,2,2222,10,28
92,41,995,0,27
