customer_id,cacq,day_0,day_1,day_2,day_3,day_4,day_5,day_6,day_7,day_8,day_9,day_10,day_11,day_12,day_13,day_14,day_15,day_16,day_17,day_18,day_19,day_20,day_21,day_22,day_23,day_24,day_25,day_26,day_27,day_28,day_29
0,-110,6,0,73,10,0,0,0,21,67,3,0,0,2,25,0,0,22,0,11,0,0,0,0,0,0,0,0,0,0,0
1,-58,0,0,0,15,0,3,2,0,3,0,2,0,4,0,24,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0
2,-7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,-30,0,3,2,0,9,0,0,0,25,34,0,35,2,5,7,0,4,0,0,0,0,0,40,0,0,0,0,0,0,0
4,-42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,15,0,0,0,0,0,0,0,0,0,0
5,-39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,0,0,0,0,0,0,0,0,0,0
6,-216,0,0,0,0,0,7,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,-103,4,0,0,0,0,6,0,0,0,30,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,-96,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,15,8,0,0,5,0,0,0,0
9,-161,6,0,0,5,0,0,0,0,0,15,5,3,0,0,0,4,0,10,0,0,26,0,14,26,0,8,0,0,0,0
10,-16,0,0,0,0,0,0,0,0,0,0,0,8,19,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
11,-10,7,15,2,10,0,0,0,0,4,0,0,4,0,1,0,2,0,0,7,0,0,102,0,0,0,0,0,0,0,0
12,-7,0,19,0,0,0,0,13,0,0,0,0,0,0,0,9,0,71,0,6,45,0,0,0,0,2,0,60,20,0,0
13,-110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,-28,0,0,3,2,0,7,0,7,7,0,0,34,0,0,0,7,0,3,0,0,0,0,0,0,0,0,0,0,0,0
15,-82,0,0,38,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,-246,0,0,0,0,5,0,8,0,0,0,42,0,11,0,11,6,14,0,0,0,0,0,0,0,0,0,0,0,0,0
17,-9,0,9,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0
18,-77,0,0,0,3,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0
19,-27,0,0,0,8,0,0,4,4,0,6,0,4,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,-104,0,0,13,0,0,0,0,0,0,4,0,0,0,0,4,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
21,-30,0,0,0,0,9,0,4,0,11,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0
23,-91,0,0,0,0,4,47,95,0,0,2,1,12,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,-121,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,-24,0,0,0,0,0,0,0,3,0,0,3,2,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
26,-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
