customer_id,cacq,day_0,day_1,day_2,day_3,day_4,day_5,day_6,day_7,day_8,day_9,day_10,day_11,day_12,day_13,day_14,day_15,day_16,day_17,day_18,day_19,day_20,day_21,day_22,day_23,day_24,day_25,day_26,day_27,day_28,day_29
0,-111,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,1,0,0,0
1,-62,0,0,14,0,4,0,10,27,2,6,0,0,0,0,0,8,3,15,0,5,0,0,2,5,0,0,0,0,0,0
2,-5,0,0,0,2,0,7,0,8,0,0,2,4,16,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,-32,0,12,0,0,0,0,0,0,0,3,0,0,5,0,0,0,59,0,6,0,0,0,0,0,0,0,0,0,0,0
4,-39,0,0,3,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,-37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,-215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,-107,0,3,0,0,0,3,0,0,0,6,0,0,0,0,0,1,0,0,0,0,3,2,0,0,0,0,0,0,0,0
8,-90,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,-160,0,0,0,0,0,14,0,0,0,0,0,12,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,-12,0,0,0,0,0,0,0,0,96,0,0,39,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,-10,6,14,4,2,2,0,1,1,0,21,0,1,1,1,7,0,0,0,0,0,1,2,5,2,0,0,0,0,0,0
13,-113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,-27,0,0,0,13,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,-84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
16,-249,0,0,1,0,4,0,1,0,1,0,0,0,2,13,2,0,0,0,0,2,13,0,0,0,0,0,0,0,0,0
17,-7,0,0,0,0,7,0,0,0,0,48,47,82,0,20,28,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0
18,-82,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,29,0,0,30,0,0,0,0,0
19,-30,10,0,0,0,0,0,0,11,25,3,0,0,20,0,0,42,0,0,0,0,0,0,110,0,0,0,0,0,0,0
20,-103,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,0,0,18,0,0,0,0,0,0,0,0,0,0,0
21,-32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,-27,66,0,0,0,0,0,19,0,0,0,16,0,15,9,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0
23,-94,17,22,0,0,0,0,3,21,0,0,0,0,0,11,0,2,0,0,16,0,0,0,10,31,0,0,0,0,0,0
24,-120,0,0,0,0,18,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,-30,84,12,13,13,50,0,54,15,37,0,0,12,0,16,93,21,38,0,51,0,0,0,0,0,0,0,0,0,0,0
26,-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,-52,0,0,1,0,0,0,0,0,0,16,0,0,1,0,0,0,0,0,9,0,0,8,0,0,0,0,0,0,0,0
28,-14,8,0,3,0,0,4,7,40,4,1,0,0,0,2,3,0,7,0,0,2,0,3,22,1,0,0,0,0,0,7
29,-79,0,0,0,0,0,0,131,0,0,0,0,0,15,0,0,0,0,0,35,0,0,0,0,50,40,0,0,0,0,0
30,-101,0,0,2,0,0,0,0,0,0,1,2,1,0,0,1,0,3,2,0,3,0,0,0,0,0,0,0,0,0,0
31,-81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,-62,25,0,0,0,6,27,27,10,9,0,0,28,8,23,21,8,28,14,15,75,170,7,0,26,17,0,0,0,0,0
33,-54,0,0,5,0,0,4,5,0,7,2,12,0,0,0,2,12,8,9,3,0,4,4,0,0,0,0,0,0,0,0
34,-126,56,0,99,0,56,41,0,0,22,39,44,0,0,34,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0
35,-91,0,0,0,6,0,0,0,7,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,-76,0,0,0,0,0,0,0,0,2,3,1,0,3,1,1,0,0,0,0,1,12,2,1,0,0,0,0,0,0,0
37,-96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,-155,0,0,11,0,0,0,0,0,0,0,0,3,0,9,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0
39,-35,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
40,-104,7,49,0,10,5,0,18,28,7,0,0,30,85,5,0,48,0,0,33,6,0,13,6,0,0,0,0,0,0,0
41,-137,0,0,0,0,0,0,28,0,18,0,15,0,0,0,0,0,12,0,0,0,9,0,0,0,0,0,0,0,0,0
42,-10,0,20,4,1,7,1,9,2,0,2,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,-85,0,0,0,0,0,0,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,-126,0,2,2,0,6,0,0,0,0,0,0,0,0,1,1,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
45,-110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,-125,0,8,0,6,6,2,0,23,0,19,3,8,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
47,-65,0,4,0,0,0,0,0,13,14,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,-105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,-97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,-214,1,1,0,0,0,0,1,1,0,5,1,3,0,3,1,2,0,1,0,5,0,0,4,4,1,3,0,0,0,0
51,-12,0,0,0,0,7,3,5,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,-30,0,0,0,0,0,112,0,0,0,0,0,0,34,0,3,0,0,0,0,0,0,0,0,0,0,106,0,0,0,0
53,-113,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,10,0,0,0,0,0,0
54,-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,-80,82,48,0,16,0,0,238,35,85,0,36,0,0,0,59,24,39,46,0,0,0,0,0,0,0,0,0,0,0,0
