year,school_id,number_of_students,avg_score
2007,11000058,144,69.03
2006,11000058,184,57.82
2005,11000058,220,64.83
2006,11000198,51,51.69
2005,11000198,47,50.16
2007,11000198,61,65.9
2005,11000244,154,56.85
2006,11000244,165,53.91
2007,11000244,146,60.92
2007,11000260,79,56.19
2006,11000260,74,45.2
2005,11000260,109,51.1
2007,11000317,68,49.12
2005,11000317,107,42.24
2006,11000317,81,44.13
2007,11000384,43,47.98
2005,11000384,32,42.59
2006,11000384,36,40.96
2007,11000678,59,47.96
2006,11000678,51,40.11
2005,11000678,45,38.89
2005,11000937,22,36.55
2006,11000937,33,35.57
2007,11000937,32,43.56
2007,11001046,101,53.61
2006,11001046,136,42.82
2005,11001046,142,41.57
2006,11001119,29,41.67
2005,11001119,41,40.83
2007,11001119,24,45.62
2007,11001135,24,57.08
2005,11001135,30,43.49
2006,11001135,18,44.85
2007,11001283,41,49.32
2006,11001283,60,44.21
2005,11001283,68,45.71
2007,11002018,34,43.91
2006,11002018,52,36.41
2005,11002018,57,38.27
2007,11002123,82,50.56
2006,11002123,92,40.84
2005,11002123,107,38.63
2006,11002468,51,42.7
2005,11002468,60,39.51
2007,11002468,52,47.47
2005,11002476,25,37.68
2006,11002476,20,39.53
2007,11002476,12,47.49
2006,11002484,167,42.67
2005,11002484,131,42.11
2007,11002484,176,50.0
2005,11002506,179,44.3
2007,11002506,107,49.81
2006,11002506,191,44.31
2007,11002514,65,49.04
2006,11002514,44,41.86
2005,11002514,72,42.42
2006,11002522,71,39.76
2007,11002522,108,47.66
2005,11002522,133,37.52
2006,11002549,215,43.56
2005,11002549,233,45.96
2007,11002549,139,52.8
2005,11003065,228,43.83
2006,11003065,278,43.59
2007,11003065,278,53.98
2006,11003979,67,41.83
2005,11003979,163,37.79
2007,11003979,70,48.37
2007,11004347,29,46.85
2006,11004347,43,42.31
2005,11004347,32,40.84
2005,11004428,108,43.21
2006,11004428,94,41.93
2007,11004428,57,49.17
2006,11005041,66,42.03
2005,11005041,61,41.16
2007,11005041,48,51.47
2005,11005360,94,40.76
2007,11005360,48,53.46
2006,11005360,42,44.12
2005,11005475,84,40.24
2007,11005475,89,46.66
2006,11005475,82,37.42
2006,11005823,96,37.0
2005,11005823,65,38.22
2007,11005823,93,42.66
2007,11006595,21,51.89
2005,11006595,18,46.06
2006,11006595,39,49.15
2006,11006617,88,40.68
2007,11006617,85,50.97
2005,11006617,112,39.03
2006,11006633,114,36.97
2007,11006633,119,47.24
2005,11006633,76,39.61
2006,11006641,135,38.14
2007,11006641,129,46.05
2005,11006641,90,41.75
2005,11006684,39,45.3
2006,11006684,60,42.78
2007,11006684,55,50.11
2006,11006773,73,39.44
2007,11006773,85,44.34
2005,11006773,33,39.13
2007,11007656,36,60.66
2005,11007656,71,55.05
2006,11007656,63,53.25
2006,11007885,428,42.99
2005,11007885,396,43.26
2007,11007885,323,51.16
2005,11007893,337,43.48
2006,11007893,220,41.7
2007,11007893,229,51.23
2006,11008105,75,37.58
2007,11008105,47,44.42
2005,11008105,67,33.55
2006,11009080,191,40.54
2005,11009080,116,39.09
2007,11009080,130,49.07
2006,11009152,158,33.13
2005,11009152,56,38.25
2007,11009152,189,44.99
2007,11009306,40,44.34
2006,11009306,37,37.01
2005,11009306,48,35.62
2005,11009888,167,37.31
2007,11009888,194,42.8
2006,11009888,201,39.28
2005,11010290,30,44.81
2007,11010290,74,46.77
2006,11010290,63,40.88
2007,11010665,145,44.76
2006,11010665,142,37.03
2005,11010665,153,38.51
2007,11011491,154,49.63
2005,11011491,170,42.23
2006,11011491,166,41.28
2005,11011661,28,35.29
2007,11011661,26,44.51
2006,11011661,33,36.06
2006,11012579,75,38.47
2005,11012579,40,37.8
2007,11012579,74,48.11
2005,11012684,15,38.47
2006,11012684,55,36.57
2007,11012684,57,48.77
2005,11012994,137,44.45
2006,11012994,562,40.4
2007,11012994,427,50.3
2007,11013141,65,59.33
2006,11013141,60,51.73
2005,11013141,38,54.6
2007,11014300,31,47.65
2005,11014300,32,41.77
2006,11014300,44,41.65
2006,11014431,116,40.62
2007,11014431,89,47.42
2005,11014431,139,39.93
2007,11015608,165,47.73
2006,11015608,183,40.85
2005,11015608,249,41.45
2005,11015624,162,45.93
2007,11015624,49,54.92
2006,11015624,152,44.23
2005,11015632,185,44.77
2006,11015632,156,40.74
2007,11015632,178,48.88
2006,11015667,60,39.16
2005,11015667,80,40.02
2007,11015667,58,47.18
2005,11015683,31,39.53
2007,11015683,24,48.02
2006,11015683,40,40.97
2007,11016094,350,52.16
2005,11016094,110,44.85
2006,11016094,429,40.96
2006,11017120,100,36.94
2005,11017120,139,43.04
2007,11017120,56,46.45
2006,11017384,58,38.51
2005,11017384,57,41.35
2007,11017384,73,46.39
2007,11017422,34,50.06
2006,11017422,32,41.57
2005,11017422,22,37.48
2005,11017775,157,44.4
2007,11017775,139,53.28
2006,11017775,153,43.61
2006,11017791,54,44.15
2007,11017791,74,49.93
2005,11017791,75,45.41
2005,11018810,65,43.31
2007,11018810,67,49.35
2006,11018810,79,42.04
2005,11018950,65,42.26
2006,11018950,50,39.15
2007,11018950,61,49.2
2007,11019948,133,46.23
2006,11019948,143,40.7
2005,11019948,142,41.36
2005,11019956,15,49.14
2007,11019956,28,49.38
2006,11019956,27,42.7
2006,11020326,65,38.1
2005,11020326,62,37.93
2007,11020326,122,52.22
2006,11020504,105,38.48
2007,11020504,107,45.94
2005,11020504,108,40.6
2006,11021403,59,39.13
2005,11021403,57,44.48
2007,11021403,47,48.11
2007,11022221,163,49.27
2006,11022221,134,38.55
2005,11022221,180,37.79
2007,11022981,199,45.73
2005,11022981,111,42.8
2006,11022981,138,38.21
2005,11023678,178,37.65
2006,11023678,182,38.53
2007,11023678,160,48.75
2006,11024097,106,31.02
2005,11024097,107,33.56
2007,11024097,87,42.35
2005,11024437,73,40.8
2007,11024437,90,45.23
2006,11024437,96,38.82
2005,11024968,66,42.21
2007,11024968,81,51.62
2006,11024968,84,39.4
2005,11025638,270,42.32
2006,11025638,230,40.54
2007,11025638,189,48.56
2005,11026073,59,46.17
2006,11026073,71,39.1
2007,11026073,42,45.19
2007,11026197,43,43.48
2005,11026197,29,30.71
2006,11026197,43,37.46
2005,11026251,16,62.29
2006,11026251,43,55.96
2007,11026251,23,61.33
2007,11026278,113,51.67
2005,11026278,96,48.52
2006,11026278,159,43.19
2006,11026324,61,49.43
2007,11026324,89,56.37
2005,11026324,73,50.49
2005,11026545,36,41.79
2007,11026545,28,43.5
2006,11026545,41,40.03
2007,11027290,124,56.98
2006,11027290,98,46.31
2005,11027290,144,46.29
2005,11027312,71,40.61
2006,11027312,70,40.03
2007,11027312,81,49.87
2007,11027320,66,49.49
2005,11027320,103,44.49
2006,11027320,104,41.86
2006,11027347,947,42.01
2005,11027347,87,43.92
2007,11027347,1095,47.21
2005,11027401,27,33.49
2007,11027401,30,43.91
2006,11027401,41,40.39
2006,11027754,94,39.1
2007,11027754,83,50.6
2005,11027754,96,41.51
2007,11028424,248,51.04
2006,11028424,265,43.99
2005,11028424,129,43.43
2005,11028750,61,41.9
2007,11028750,72,48.99
2006,11028750,95,39.71
2007,11029110,67,45.49
2006,11029110,53,35.83
2005,11029110,49,42.2
2006,11029439,177,44.01
2007,11029439,183,50.31
2005,11029439,187,46.1
2006,11029455,131,45.51
2007,11029455,107,54.43
2005,11029455,125,46.73
2007,11029480,165,45.71
2006,11029480,125,38.13
2005,11029480,100,44.2
2007,11029951,76,51.21
2005,11029951,135,43.15
2006,11029951,100,41.32
2005,11030003,59,37.39
2007,11030003,60,48.45
2006,11030003,72,39.85
2005,11030372,65,41.69
2007,11030372,55,44.91
2006,11030372,72,39.32
2005,11030666,56,40.19
2006,11030666,44,39.84
2007,11030666,46,43.53
2005,11031298,50,37.08
2007,11031298,42,49.76
2006,11031298,46,36.29
2005,11031964,47,39.81
2006,11031964,58,36.4
2007,11031964,64,46.89
2006,11032189,55,36.64
2007,11032189,35,43.48
2005,11032189,44,42.92
2005,11032260,150,43.12
2006,11032260,150,39.42
2007,11032260,139,48.01
2006,11032359,20,34.75
2005,11032359,19,38.12
2007,11032359,26,43.15
2007,11033070,203,44.54
2006,11033070,154,40.13
2005,11033070,146,40.47
2006,11033371,91,30.99
2005,11033371,47,37.32
2007,11033371,80,43.09
2005,11033495,27,55.71
2007,11033495,19,63.56
2006,11033495,14,49.38
2006,11033649,69,44.92
2005,11033649,64,42.05
2007,11033649,65,48.46
2006,11033797,260,42.8
2005,11033797,265,44.16
2007,11033797,248,53.04
2006,11033819,193,40.68
2005,11033819,196,41.71
2007,11033819,162,48.33
2005,11033835,93,44.06
2006,11033835,97,42.73
2007,11033835,120,52.51
2006,11033894,34,54.44
2007,11033894,26,70.2
2005,11033894,71,58.91
2007,11034440,67,47.17
2005,11034440,59,39.83
2006,11034440,51,40.66
2006,11034998,256,40.29
2007,11034998,165,50.23
2005,11034998,233,42.78
2007,11035080,26,43.73
2006,11035080,21,32.37
2005,11035080,20,33.17
2006,11035960,317,43.3
2005,11035960,178,43.95
2007,11035960,280,53.4
2005,11037474,40,49.68
2006,11037474,32,46.38
2007,11037474,40,55.78
2007,11038500,30,56.29
2005,11038500,35,50.31
2006,11038500,25,48.31
2006,11040793,409,46.11
2007,11040793,286,55.17
2005,11040793,239,47.72
2005,11042028,93,40.01
2006,11042028,54,43.67
2007,11042028,57,48.77
2007,11046740,95,50.47
2005,11046740,22,42.37
2006,11046740,52,39.42
2007,12000418,398,46.0
2006,12000418,245,40.56
2005,12000418,219,40.8
2005,12000450,245,41.05
2007,12000450,221,46.31
2006,12000450,241,40.62
2007,12004197,190,48.43
2006,12004197,172,38.41
2005,12004197,172,40.9
2005,12005711,239,38.1
2007,12005711,307,45.15
2006,12005711,263,36.06
2007,12007617,338,49.92
2006,12007617,328,37.28
