temp,weekday,cost,price,sales
25.8,1,0.3,7,230
22.7,3,0.5,4,190
33.7,7,1.0,5,237
23.0,4,0.5,5,193
24.4,1,1.0,3,252
30.3,7,0.5,9,191
20.4,1,1.0,7,222
21.6,6,1.0,8,188
24.8,6,0.5,8,192
22.7,3,0.5,6,189
19.2,3,0.5,4,181
23.2,2,0.3,6,179
22.6,7,1.0,7,213
26.4,5,0.3,7,197
17.3,5,1.0,4,187
21.2,7,1.5,3,235
28.6,1,1.0,3,254
31.4,4,0.5,3,223
18.0,2,1.0,4,175
26.6,3,1.5,9,213
20.1,7,0.3,3,236
20.6,7,1.5,4,234
20.5,1,0.5,5,236
22.3,3,0.3,10,198
28.0,6,1.0,10,221
26.8,6,0.5,7,200
24.2,3,0.3,8,188
22.5,4,0.3,10,195
24.0,4,0.5,8,200
23.6,2,1.0,10,199
27.2,4,0.3,4,201
21.5,1,1.0,6,243
24.0,2,1.0,10,213
23.6,2,1.0,6,192
23.8,5,1.5,10,211
25.0,2,1.5,4,209
24.8,6,0.5,7,194
29.3,6,1.5,5,208
23.7,2,0.3,6,191
30.2,6,0.3,8,205
22.8,1,1.5,3,251
22.1,3,0.3,3,194
24.4,2,1.0,6,189
25.4,5,0.3,10,201
25.1,4,0.3,5,191
29.2,1,0.5,4,255
28.6,7,1.5,9,173
26.0,5,0.5,4,199
22.7,4,1.0,8,188
23.6,3,0.3,3,202
29.7,3,1.0,10,224
24.9,5,1.0,8,198
18.8,2,0.3,10,178
21.2,4,1.5,4,191
21.7,4,0.5,7,179
28.6,4,1.0,7,204
23.6,4,0.5,5,181
33.0,7,1.0,8,190
26.6,7,0.5,7,221
24.5,7,1.0,4,242
22.3,6,1.5,5,192
27.9,1,1.5,9,168
23.0,7,0.3,6,232
20.7,7,0.3,8,210
26.3,7,0.5,6,241
24.1,6,1.0,5,196
28.8,1,1.5,9,173
23.7,5,1.5,9,211
12.6,5,0.3,5,161
27.2,1,0.3,8,214
16.5,3,0.3,5,172
30.2,6,1.0,4,210
31.3,4,1.5,7,221
22.3,1,0.3,10,183
19.3,6,0.3,7,173
18.4,4,1.0,6,177
27.5,2,1.5,4,214
23.2,7,1.5,3,258
21.6,1,1.5,6,233
23.0,2,0.3,6,182
32.4,6,1.0,4,215
25.4,4,0.5,8,188
27.0,4,0.3,8,208
27.1,2,0.3,5,199
28.1,3,0.5,9,209
28.2,4,1.0,10,229
21.2,5,0.3,3,198
23.1,4,1.0,8,184
21.0,7,1.0,10,174
21.2,5,0.5,8,190
28.6,7,0.3,7,218
22.0,1,0.3,5,249
23.7,1,0.5,8,207
21.2,5,0.5,7,183
21.6,1,0.5,8,220
27.2,1,1.0,4,247
22.2,6,0.3,9,185
22.1,4,0.3,7,174
26.0,4,1.5,6,208
26.0,2,0.5,7,202
27.2,7,1.0,3,248
24.7,5,0.3,3,187
17.0,3,1.5,10,189
26.5,3,0.3,9,200
26.0,5,0.3,8,195
28.1,6,1.0,6,197
20.6,7,1.5,3,256
34.1,7,1.5,7,208
19.1,1,0.5,6,247
26.9,6,1.5,9,221
24.2,6,1.0,7,195
22.1,4,0.5,6,187
27.3,4,0.5,9,204
22.9,4,0.3,3,201
14.7,7,0.5,8,214
19.3,3,0.3,9,177
25.8,5,1.0,10,212
33.0,3,0.3,3,218
18.1,5,1.0,5,177
23.9,6,0.3,7,185
29.8,4,0.5,7,211
26.4,6,0.5,9,194
22.5,3,0.5,10,193
18.3,5,0.5,6,173
16.9,5,1.5,6,169
21.0,1,1.0,10,177
22.5,4,0.5,6,172
15.0,3,1.5,10,173
17.2,1,0.5,5,247
25.2,2,1.5,7,198
22.4,5,0.3,9,184
21.0,5,0.5,5,183
22.4,6,1.0,9,203
20.7,3,0.3,6,172
27.7,2,0.5,4,200
30.6,7,0.5,6,232
32.3,7,0.5,4,254
26.8,1,1.0,9,196
27.0,5,1.0,6,197
29.9,4,1.5,5,219
31.0,4,1.0,6,211
29.9,1,0.5,9,192
28.8,7,0.5,5,246
21.5,7,0.3,4,244
17.6,4,0.5,9,162
27.5,5,0.5,10,208
23.6,2,0.3,4,193
23.8,4,1.5,6,199
20.4,4,0.5,5,179
18.8,5,1.0,10,186
29.6,2,1.0,7,205
25.9,3,1.0,6,199
19.7,1,1.5,9,191
25.6,7,0.5,8,209
25.2,4,1.5,10,204
26.1,6,1.5,4,207
32.9,5,1.5,5,216
23.9,3,0.3,6,184
18.9,2,1.0,3,194
24.1,3,0.5,7,186
21.4,5,0.3,6,176
26.2,2,1.5,7,197
24.8,7,0.5,4,242
25.4,1,0.5,4,242
21.7,1,0.5,3,245
25.7,6,1.0,4,212
22.0,6,0.3,10,181
26.1,4,0.3,8,198
22.8,6,0.5,5,188
19.5,3,1.5,5,181
26.0,5,0.5,8,199
21.2,2,0.3,7,182
29.8,6,0.5,4,199
25.8,4,1.5,5,195
25.9,3,0.5,9,189
24.4,5,0.5,3,205
23.8,3,1.5,9,198
14.5,6,1.5,10,179
28.9,3,0.3,8,196
20.7,7,1.5,4,244
27.8,5,1.5,7,207
21.4,7,0.5,3,256
23.4,6,1.5,9,207
23.1,5,0.3,6,180
19.8,1,0.5,4,244
23.3,7,1.5,6,231
25.9,3,0.3,6,197
22.3,3,1.5,4,189
18.9,2,0.5,4,178
21.7,1,0.3,9,200
25.0,4,0.5,10,201
28.6,5,1.0,9,221
27.3,7,0.5,5,235
25.1,1,0.3,4,251
20.0,2,1.0,9,196
27.6,1,1.0,7,213
24.1,7,1.0,3,244
23.0,1,1.0,7,220
27.6,5,0.3,5,194
26.5,4,0.3,5,195
26.0,1,0.5,3,252
19.4,4,1.0,7,185
21.6,5,0.3,6,180
17.2,2,0.3,5,168
24.8,2,0.3,6,185
24.1,3,0.5,8,187
27.7,3,0.5,3,213
24.8,7,1.0,7,217
22.5,7,0.3,9,213
32.4,2,1.0,9,223
19.9,3,0.3,3,195
18.7,3,0.3,7,173
21.6,7,1.5,4,244
26.1,4,0.3,8,189
22.6,3,0.3,5,185
22.2,5,1.0,4,198
19.5,5,0.5,8,175
29.9,2,0.3,8,206
21.5,4,0.5,9,173
19.7,7,0.5,10,196
23.5,3,0.3,3,197
20.8,7,0.5,9,190
23.1,6,0.3,6,194
29.3,3,1.0,10,218
22.2,4,0.3,8,177
23.8,5,1.0,5,188
22.5,3,0.3,3,199
23.2,6,0.3,8,184
27.3,2,1.5,6,204
26.1,2,0.3,9,201
22.6,7,1.5,4,243
20.3,1,1.0,8,212
23.5,1,0.5,3,252
27.3,5,1.0,9,209
23.9,7,1.5,8,201
23.5,4,0.3,10,203
16.8,2,1.0,4,194
28.0,2,1.0,3,201
18.0,7,1.5,10,172
18.9,7,0.3,7,232
22.5,4,1.0,4,196
24.1,5,1.0,5,195
24.2,1,0.5,4,237
20.9,3,0.3,3,196
22.7,2,1.0,6,195
21.6,2,0.3,4,191
16.8,2,1.0,3,193
23.0,1,0.3,7,236
21.2,7,1.5,5,234
25.7,2,0.3,8,191
23.4,3,1.0,9,197
27.9,3,0.5,10,212
