age,income,insurance,invested,em1_ps,em2_ps,em3_ps,em1,em2,em3,converted
44.1,4214.66,14036.41,7988.66,0.1185065780441503,0.04517449781169468,0.9212814097244963,0,0,1,1
39.8,1151.27,66622.15,1000.74,0.43112282242717026,0.005659012517753332,0.0,1,0,0,0
49.0,8047.26,14119.53,29480.22,0.06213650794438804,0.16670557188292878,0.8400492996628929,0,0,1,0
39.7,10558.37,14798.26,36373.09,0.04737248979738597,0.2056835657806908,0.0,0,0,0,0
35.3,802.15,780.84,1643.16,0.6164501631472019,0.009291787086227757,0.0,1,0,0,0
40.0,1672.21,80488.53,2785.26,0.29761444766111245,0.01575016608229675,0.0,0,0,0,1
36.0,1311.69,5852.42,1913.09,0.3787953302211562,0.010818194793441574,0.0,1,0,0,0
49.7,6058.53,7438.02,12590.94,0.08249938617754217,0.07119959936674974,0.8822005114363137,0,0,1,1
38.4,2774.08,44812.72,1275.04,0.17982601074681762,0.0072101318230871235,0.0,0,0,0,0
41.6,5266.88,3692.12,6028.03,0.09487613893058018,0.034087472497744284,0.898979564802245,1,0,1,0
40.8,5918.2,40771.03,6752.44,0.08445227893795756,0.038183886409435326,0.8851748113906384,1,0,1,1
43.4,8270.27,48.12,25083.6,0.06046300422570761,0.14184344224305762,0.8353225938065973,0,0,0,0
41.3,1741.85,37123.15,5336.96,0.28578360019408056,0.030179590549742015,0.9736927164305009,0,0,1,1
38.6,4493.96,51883.42,5686.11,0.111157736747218,0.03215397372676459,0.0,0,0,0,0
35.5,5545.46,2246.34,24243.86,0.09011855003906066,0.1370948570244612,0.0,0,1,0,0
47.9,17055.73,12496.43,33587.29,0.02933657101102619,0.18993034609130374,0.6491144182438426,1,0,0,0
42.0,3448.72,3442.59,6700.42,0.1447500809548041,0.037889722259732576,0.9375155386136537,0,0,1,0
39.8,990.74,7400.84,1087.11,0.5002797929532146,0.0061474200073693705,0.0,0,0,0,0
42.3,3721.72,25284.89,2539.0,0.13416065514025705,0.014357608152542828,0.9317292927109199,0,0,1,0
37.6,4670.74,96770.04,10747.33,0.10695958331374954,0.06077430201893191,0.0,0,0,0,0
48.5,5387.82,46276.51,5343.93,0.09275040664564584,0.03021900470051918,0.896416236672294,0,0,1,1
41.4,2212.24,82770.54,5232.31,0.22529069767441862,0.029587812805290024,0.9637227815946513,0,0,1,1
43.0,1568.39,3634.27,2852.16,0.31719030150976624,0.016128474071822194,0.9773692080579303,0,0,1,0
40.7,1992.69,23823.18,8047.86,0.2499887651109258,0.04550926362604306,0.9683761526127656,0,0,1,1
43.8,1911.82,31.62,1935.38,0.26050826820409817,0.010944240908337274,0.9700901954924509,0,0,1,1
43.6,4136.73,29727.35,12266.67,0.12073368654337274,0.0693659083090006,0.9229331391867676,0,0,0,0
46.9,5838.11,35933.83,6381.03,0.0856088548266021,0.0360836267623554,0.886872322139173,1,0,1,1
45.7,1149.31,1039.3,1759.63,0.431851704893428,0.009950404896990523,0.9862516253946252,1,0,1,1
