age,income,insurance,invested,em1,em2,em3,converted
44.1,5483.8,6155.29,14294.81,0,0,1,0
39.8,2737.92,50069.4,7468.15,1,0,0,0
49.0,2712.51,5707.08,5095.65,0,0,1,1
39.7,2326.37,15657.97,6345.2,0,0,0,0
35.3,2787.26,27074.44,14114.86,1,1,0,0
40.0,1229.99,821.87,726.26,1,0,0,0
36.0,1643.77,29102.01,1836.4,0,0,0,0
49.7,6820.32,54063.86,28737.34,0,0,1,1
38.4,8319.4,58393.53,15241.57,0,0,0,0
41.6,6748.43,30599.31,17328.12,1,0,1,1
40.8,3019.07,17211.09,4558.26,0,0,1,0
43.4,890.4,5455.07,1719.38,0,0,1,0
41.3,19829.24,53650.68,51061.46,0,1,1,0
38.6,9308.18,1538.79,14181.96,0,1,0,1
35.5,5277.31,29810.53,7685.14,0,0,0,0
47.9,1494.76,54312.95,4040.93,0,0,0,0
42.0,8239.7,7905.07,21878.05,0,0,1,0
39.8,3666.58,746.23,5357.53,0,0,0,0
42.3,2497.92,15478.06,5870.57,1,0,0,0
37.6,6838.17,35397.6,11120.44,0,0,0,0
48.5,1254.96,10974.25,2855.73,0,0,1,0
41.4,5082.58,12386.69,15248.22,0,0,1,0
43.0,8727.44,2987.04,18266.63,0,1,1,1
40.7,4394.2,28371.2,6642.72,0,0,1,0
43.8,9372.1,29.73,13412.18,0,0,0,0
43.6,1975.13,29129.06,8170.71,0,0,1,0
46.9,2938.14,24259.02,3499.0,0,0,1,0
45.7,7578.88,1293.64,15871.41,0,0,1,0
44.1,2429.98,58202.85,7707.48,0,0,1,0
48.7,6634.26,4927.82,24113.72,0,0,1,1
49.1,13709.99,32793.25,42423.37,0,1,1,1
44.4,4068.22,39245.83,12173.45,0,0,1,1
47.9,9231.6,11787.52,37624.85,0,0,1,0
38.2,4500.43,8413.94,12303.31,0,0,0,0
41.1,8948.12,15029.85,24362.2,0,0,1,0
40.6,13606.21,3151.86,44209.3,1,0,1,1
44.7,3220.24,595.29,3541.27,1,0,1,0
46.6,1754.4,70600.39,3897.5,1,0,1,0
45.1,1204.98,46063.33,3089.03,1,0,1,0
33.7,2136.01,23592.79,5821.44,0,0,0,0
41.6,2108.55,53253.4,2372.21,0,0,1,0
47.6,960.5799999999999,21846.03,1697.7,1,0,1,0
38.0,5618.13,29617.66,2284.81,0,0,0,0
43.0,4197.27,100460.39,10909.98,0,0,1,0
37.7,1205.02,6076.96,804.26,0,0,0,0
42.8,1514.88,8888.28,2206.64,0,0,1,0
43.8,5083.78,6214.66,5297.89,0,0,1,0
43.7,3009.53,68205.72,8986.0,0,0,1,0
40.5,4452.389999999999,4258.71,10236.9,0,0,1,0
43.1,7039.34,6861.05,15424.73,0,0,1,0
35.2,2227.0299999999997,20438.73,6369.0,0,0,0,0
42.7,3134.95,48350.39,9951.06,0,0,1,0
39.3,8434.48,40370.23,18556.91,0,0,0,0
43.4,1967.43,12664.16,4788.15,1,0,1,1
32.9,1657.07,707.65,213.47,1,0,0,0
41.4,1270.06,115.98,3832.74,1,0,1,1
48.1,4133.5599999999995,22109.73,11475.5,0,0,1,0
38.4,1464.8899999999999,4996.68,2690.94,1,0,0,0
37.8,3015.09,195381.97,1588.33,0,0,0,0
39.4,8834.26,57321.6,16855.02,0,0,0,0
41.1,2297.6400000000003,6.3,3488.94,1,0,1,0
45.2,5323.2,32823.36,8771.27,0,0,0,0
40.3,944.9100000000001,23001.13,2090.27,0,0,1,0
49.6,6755.22,30232.94,21536.89,0,0,1,0
39.2,6086.25,4851.17,7247.58,0,0,0,0
41.1,690.85,49124.13,1548.76,1,0,1,0
37.4,885.24,37039.46,1127.52,0,0,0,0
47.0,4422.42,69099.08,17401.53,0,0,1,0
40.5,3713.65,92490.16,9516.57,0,1,1,0
42.0,1217.48,73067.31,1666.54,0,0,1,0
44.4,8289.5,82460.06,16642.67,0,0,1,0
47.2,4209.05,11967.82,5100.98,0,0,1,0
38.6,1479.1,36303.69,7626.7,0,0,0,0
40.2,4862.75,39383.33,3874.41,0,0,1,0
44.2,1584.91,132913.15,3323.93,1,0,1,0
39.2,4393.33,104.3,5846.44,0,0,0,0
48.1,6427.35,78.55,19206.87,0,0,1,0
40.8,562.61,1775.78,453.61,0,0,1,0
38.4,772.6,77818.92,2646.49,1,0,0,0
39.6,4578.27,17822.88,9474.72,0,0,0,0
47.3,6648.13,55706.93,22836.56,0,0,0,0
43.5,7588.53,38831.44,20983.95,0,0,1,1
41.3,5373.97,13670.09,7737.03,0,0,1,0
48.4,1440.96,12534.6,4630.43,0,0,1,0
42.7,4191.58,693.55,11610.89,0,0,1,1
37.0,4191.6900000000005,13538.44,7185.28,0,0,0,0
