minscore,person_years,avgearnings,receivehsd,n
-30.0,24.0,11845.086,0.41666666,12
-29.0,104.0,9205.679,0.38709676,31
-28.0,146.0,8407.745,0.3181818,44
-27.0,137.0,11114.087,0.37777779,45
-26.0,227.0,10814.624,0.30666667,75
-25.0,341.0,11666.925,0.3018868,106
-24.0,419.0,11336.057,0.38059703,134
-23.0,479.0,10719.352,0.275,160
-22.0,550.0,10684.487,0.26666668,180
-21.0,756.0,10342.762,0.23673469,245
-20.0,839.0,11012.137,0.26335877,262
-19.0,1029.0,11721.943,0.28783384,337
-18.0,1175.0,11712.557,0.28350514,388
-17.0,1424.0,10564.079,0.26444444,450
-16.0,1549.0,10737.608,0.29554656,494
-15.0,1854.0,11423.25,0.30993152,584
-14.0,2092.0,11717.597,0.30225563,665
-13.0,2443.0,11931.299,0.28188777,784
-12.0,2924.0,12174.198,0.28349945,903
-11.0,3058.0,11953.884,0.29771784,964
-10.0,3505.0,12705.653,0.30483273,1076
-9.0,3986.0,12060.475,0.34561834,1221
-8.0,4394.0,12214.287,0.34626648,1366
-7.0,4931.0,13038.381,0.35818908,1502
-6.0,5574.0,12683.077,0.37507418,1685
-5.0,5706.0,13179.544,0.39025787,1745
-4.0,6530.0,13083.809,0.39937598,1923
-3.0,6438.0,13143.415,0.4405812,1927
-2.0,6869.0,13983.55,0.45413533,1995
-1.0,6667.0,13732.518,0.46518824,1939
0.0,6458.0,14063.868,0.916222,1874
1.0,6548.0,14257.279,0.9062334,1877
2.0,5850.0,13829.307,0.9275449,1670
3.0,5484.0,14631.656,0.9151671,1556
4.0,5219.0,14847.078,0.9280677,1418
5.0,4654.0,14983.756,0.9230159,1260
6.0,3874.0,14936.146,0.9325736,1053
7.0,3392.0,15824.566,0.93134,903
8.0,2653.0,15175.247,0.9410072,695
9.0,2220.0,15253.268,0.9256637,565
10.0,1869.0,16395.117,0.93432206,472
11.0,1466.0,15541.161,0.9222222,360
12.0,1052.0,15487.525,0.96564883,262
13.0,761.0,17235.902,0.9673913,184
14.0,474.0,16985.027,0.9357798,109
15.0,308.0,17854.611,0.87323946,71
