gender,asian,black,hawaiian,hispanic,unknown,white,format_ol,format_blended,falsexam
0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,63.299969999999995
1,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,79.96
1,0.0,0.0,0.0,0.0,0.0,1.0,0,1.0,83.37
1,0.0,0.0,0.0,0.0,0.0,1.0,0,1.0,90.01994
1,0.0,0.0,0.0,0.0,0.0,1.0,1,0.0,83.3
0,1.0,0.0,0.0,0.0,0.0,0.0,1,0.0,88.34996
1,1.0,0.0,0.0,0.0,0.0,0.0,0,1.0,78.4
1,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,90.0
1,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,88.31
0,0.0,0.0,0.0,0.0,0.0,1.0,1,0.0,73.37
1,1.0,0.0,0.0,0.0,0.0,0.0,1,0.0,83.3
1,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,86.64
1,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,83.37
1,,,,,,,0,1.0,76.64
0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,89.98
0,,,,,,,0,1.0,66.64
1,1.0,0.0,0.0,0.0,0.0,0.0,1,0.0,80.05
1,,,,,,,0,0.0,78.38
0,,,,,,,0,1.0,86.64
1,1.0,0.0,0.0,0.0,0.0,0.0,1,0.0,74.97
1,0.0,0.0,0.0,0.0,0.0,1.0,0,1.0,63.35
1,0.0,0.0,0.0,0.0,0.0,1.0,1,0.0,71.73899999999999
1,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,81.65
1,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,88.33
0,0.0,1.0,0.0,0.0,0.0,0.0,1,0.0,59.94
0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,80.04997
1,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,84.99
0,1.0,0.0,0.0,0.0,0.0,0.0,0,1.0,71.68
0,0.0,0.0,0.0,0.0,0.0,1.0,1,0.0,71.63
0,0.0,0.0,0.0,0.0,0.0,1.0,1,0.0,73.29899999999999
1,1.0,0.0,0.0,0.0,0.0,0.0,0,1.0,68.27
0,,,,,,,0,1.0,83.3
0,0.0,1.0,0.0,0.0,0.0,0.0,0,1.0,56.7
1,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,73.3
1,,,,,,,0,0.0,73.3
1,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,68.27
1,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,74.97
1,,,,,,,1,0.0,66.62
0,,,,,,,0,0.0,66.69
0,,,,,,,0,1.0,81.63
1,,,,,,,0,1.0,56.6
0,1.0,0.0,0.0,0.0,0.0,0.0,0,1.0,76.64
1,0.0,0.0,0.0,0.0,0.0,1.0,0,1.0,81.74
1,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,65.04
1,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,84.99
1,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,96.66
1,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,88.33
1,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,88.31
0,1.0,0.0,0.0,0.0,0.0,0.0,0,1.0,76.64
0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,68.31
1,0.0,1.0,0.0,0.0,0.0,0.0,0,1.0,71.61
0,,,,,,,0,0.0,60.01
0,,,,,,,0,1.0,61.72
1,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,79.96
1,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,88.31
