wage,hours,lhwage,IQ,educ,exper,tenure,age,married,black,south,urban,sibs,brthord,meduc,feduc
769,40,2.9562115153917077,93,12,11,2,31,1,0,0,1,1,2.0,8.0,8.0
808,50,2.7825390530929495,119,18,11,16,37,1,0,0,1,1,,14.0,14.0
825,40,3.0265039322207445,108,14,11,9,33,1,0,0,1,1,2.0,14.0,14.0
650,40,2.7880929087757464,96,12,13,7,32,1,0,0,1,4,3.0,12.0,12.0
562,40,2.642622395779755,74,11,14,5,34,1,0,0,1,10,6.0,6.0,11.0
1400,40,3.5553480614894135,116,16,14,2,35,1,1,0,1,1,2.0,8.0,
600,40,2.70805020110221,91,10,13,0,30,0,0,0,1,1,2.0,8.0,8.0
1081,40,3.296762363525272,114,18,8,14,38,1,0,0,1,2,3.0,8.0,
1154,45,3.244326957297725,111,15,13,1,36,1,0,0,0,2,3.0,14.0,5.0
1000,40,3.2188758248682006,95,12,16,16,36,1,0,0,1,1,1.0,12.0,11.0
930,43,3.0739844704537393,132,18,8,13,38,1,0,0,0,1,1.0,13.0,14.0
921,38,3.187873876528921,102,14,9,11,33,1,0,0,0,1,2.0,16.0,
900,45,2.995732273553991,125,15,4,3,30,0,0,0,0,2,,12.0,12.0
1318,38,3.546284555336067,119,16,7,2,28,1,0,0,1,3,1.0,10.0,10.0
1792,40,3.8022081394209395,118,16,9,9,34,1,0,0,1,1,1.0,12.0,12.0
958,50,2.9528247725427144,105,10,17,2,35,1,0,0,1,1,2.0,6.0,8.0
1360,45,3.4085774889597777,109,15,6,9,36,1,0,0,1,3,3.0,12.0,10.0
850,40,3.056356895370426,72,11,19,10,38,1,0,0,1,2,3.0,10.0,8.0
830,44,2.9372360668723823,105,14,4,7,29,1,0,0,1,3,1.0,12.0,
471,44,2.3706684600981567,101,12,13,7,31,1,0,0,1,3,2.0,8.0,
1275,40,3.46182200347859,123,14,9,1,31,1,0,0,1,0,1.0,12.0,
1615,50,3.475067230228611,113,16,10,4,36,1,0,0,1,2,1.0,12.0,12.0
873,65,2.597548285943965,95,12,14,3,38,1,0,0,1,5,1.0,10.0,10.0
2137,45,3.8604957655488277,145,16,17,8,38,1,0,0,1,2,1.0,12.0,12.0
1053,38,3.3218123524075898,114,16,12,7,32,1,0,0,1,0,1.0,11.0,11.0
1602,60,3.2846635654062037,124,16,8,9,29,1,0,0,1,3,1.0,16.0,16.0
1188,40,3.391147045808654,93,13,16,5,35,1,0,0,1,2,1.0,12.0,8.0
800,40,2.995732273553991,115,18,11,1,35,1,0,1,1,0,1.0,8.0,8.0
1417,48,3.3850962287827895,125,17,9,4,34,1,0,0,1,3,1.0,13.0,12.0
635,40,2.7647455447787554,128,18,8,13,36,0,0,0,1,2,1.0,16.0,16.0
1000,40,3.2188758248682006,103,12,17,2,34,1,0,0,1,1,1.0,8.0,
1424,50,3.349202086543775,98,14,15,4,35,1,0,0,1,1,1.0,12.0,12.0
2668,75,3.5715962934992036,108,13,12,2,32,1,0,1,1,1,2.0,12.0,12.0
666,75,2.1838015570040787,129,18,8,12,38,1,0,0,0,2,1.0,18.0,18.0
1779,40,3.794927233551899,132,17,8,9,32,1,0,0,1,1,1.0,17.0,14.0
782,40,2.972975286431375,92,13,9,10,31,1,0,0,1,3,3.0,8.0,
1572,35,3.804755911499738,108,14,7,5,28,1,1,0,1,1,,12.0,8.0
1274,40,3.4610373820181723,106,13,11,12,31,1,0,0,1,0,1.0,15.0,12.0
714,35,3.0155349008501706,105,16,9,2,29,1,0,0,1,1,2.0,13.0,12.0
